Participant.ID,PRE.POST,Condition,a(1),v(1),t(1),z_trans(1),z(1),dc(1),likelihood,penalty,bic
P047,POST,Happy,0.97917783,3.495444009,0.15627299,-0.686548591,0.334801296,1.839811644,-504.1004383,30.45104289,534.5514812
P048,POST,Happy,0.737589118,2.889114454,0.215642407,-0.672030835,0.338042252,1.846120489,-569.1808571,30.45104289,599.6319
P049,POST,Happy,0.638701589,3.794811733,0.230621459,0.037606613,0.509400545,0.337461182,-511.6169664,30.45104289,542.0680093
P050,POST,Happy,0.899301728,2.522705917,0.171349066,-0.658360269,0.34110805,2.439041676,-678.2329066,30.45104289,708.6839495
P051,POST,Happy,0.719845026,1.839680075,0.200592961,-0.874902947,0.294235126,2.475910955,-597.8205766,30.45104289,628.2716195
P052,POST,Happy,2.270211656,17.82380218,0.141097004,-2.228175349,0.097248712,-3.11188165,-448.5466041,30.45104289,478.997647
P053,POST,Happy,0.715292873,1.79603677,0.194339637,-0.621130092,0.349524473,2.409801039,-615.4746866,30.45104289,645.9257295
P054,POST,Happy,2.706767868,-0.384261193,0.01706587,-3.343805501,0.034098598,10.29327003,-619.4396387,30.45104289,649.8906816
P001,PRE,Control,2.100561425,-0.607564312,0.000158533,-2.846110481,0.05488272,8.243961811,-628.2348814,30.45104289,658.6859243
P002,PRE,Control,0.78385771,3.126379217,0.206533037,-0.571629853,0.36086083,1.430276605,-547.0954026,30.45104289,577.5464455
P003,PRE,Control,0.605030321,2.959006752,0.232711758,0.001854862,0.500463715,1.357292275,-553.483964,30.45104289,583.9350069
P004,PRE,Control,0.868509081,1.405646263,0.112813741,-0.475514818,0.383311793,1.984579173,-622.523532,30.45104289,652.9745749
P005,PRE,Control,0.610980371,4.247786395,0.221742587,0.251803022,0.562620236,0.356347444,-507.2263689,30.45104289,537.6774118
P006,PRE,Control,0.735719019,3.988383839,0.223292653,-0.412985369,0.398196502,1.515682073,-528.6342864,30.45104289,559.0853293
P007,PRE,Control,0.755923653,4.319672026,0.196738615,-1.023769427,0.264293812,2.307204125,-501.1054776,30.45104289,531.5565205
P008,PRE,Control,0.734095409,1.279476441,0.172675724,-1.455763982,0.189116068,2.301640095,-536.4263716,30.45104289,566.8774145
P009,PRE,Control,0.696121126,1.642089206,0.20553414,-0.338630035,0.416142296,1.666636081,-613.7672923,30.45104289,644.2183352
P010,PRE,Control,0.714846622,1.735477589,0.201717083,-0.770445276,0.316382792,1.808670047,-592.5440125,30.45104289,622.9950554
P011,PRE,Control,2.637528322,-0.210103354,0.004813314,-3.387462842,0.032689588,9.610227567,-620.739507,30.45104289,651.1905499
P012,PRE,Control,0.629440501,3.74152598,0.226453845,0.176008864,0.543888971,-0.255169549,-521.1066227,30.45104289,551.5576656
P013,PRE,Control,0.678037863,3.496737151,0.220310793,-1.109395274,0.247983645,2.32266841,-553.314717,30.45104289,583.7657598
P014,PRE,Control,0.890187739,4.773423251,0.227183673,-1.502131408,0.182107847,3.194774762,-485.0403473,30.45104289,515.4913902
P015,PRE,Control,0.774896459,4.142351957,0.213742704,-1.441357193,0.191335267,2.816883599,-498.890448,30.45104289,529.3414909
P016,PRE,Control,1.950125589,-0.757620389,0.085455456,-3.217677507,0.038505879,10.85915842,-623.0242868,30.45104289,653.4753297
P017,PRE,Control,0.683097535,2.781079652,0.215995651,-0.421605501,0.396132632,1.481625706,-583.1591041,30.45104289,613.610147
P018,PRE,Control,0.80829906,1.345072573,0.146208335,-0.080406481,0.479909203,1.832694614,-620.5256001,30.45104289,650.976643
P020,PRE,Control,1.531461965,10.15450219,0.158962439,-1.996538116,0.119566877,0.977907625,-435.8215839,30.45104289,466.2726268
P021,PRE,Control,0.630024832,2.61568696,0.21492138,-0.257117346,0.43607246,2.342761721,-593.8521633,30.45104289,624.3032062
P022,PRE,Control,0.67676932,3.579921562,0.209806674,-0.414128695,0.397922552,1.607371346,-544.221896,30.45104289,574.6729388
P023,PRE,Control,0.630641239,3.350761334,0.177680356,-0.640149971,0.345212639,1.323368039,-538.2887825,30.45104289,568.7398254
P024,PRE,Control,0.673951506,1.672441024,0.206808484,-0.137930782,0.46557187,2.341769246,-605.5556809,30.45104289,636.0067237
P025,PRE,Control,2.507907157,6.345298435,0.115300012,-3.534340097,0.028350786,4.735785213,-496.6948503,30.45104289,527.1458932
P026,PRE,Control,0.800911008,4.767282854,0.209393674,-0.643326545,0.344494957,2.251530495,-497.2548899,30.45104289,527.7059328
P027,PRE,Control,0.704872608,3.035001276,0.221465181,-0.659545945,0.340841616,2.153450393,-540.7824377,30.45104289,571.2334806
P028,PRE,Control,1.896291083,-0.108930898,2.60E-06,-2.657434837,0.065532243,6.955767781,-643.5099591,30.45104289,673.961002
P029,PRE,Control,0.644357518,1.977300738,0.196376116,-0.281915134,0.429984318,1.740330815,-595.7140302,30.45104289,626.165073
